Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2704,2%,7,7,3,5,2,10,0,0,0,0,0,0,19,2,-10,-700,32,80,9,6030,25%,429,9,2%,108,25%,159,10%,14%
COA,91036,1%,69,70,90,470,34,594,198,198000,312,156,7,70,376,56,899,62930,479,1197,546,365820,50%,79384,49823,62%,2105,2%,895,10%,14%
DTP,948,4%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,182,-0,-0%,55,30%,192,10%,14%
FDN,1062,3%,6,6,4,8,2,14,3,3000,0,0,0,0,0,0,-16,-1120,0,0,7,4690,0%,151,4,3%,38,25%,142,10%,14%
HNT,3426,1%,6,6,3,6,2,11,7,3850,0,0,0,0,0,0,-2,-140,-2,-5,0,0,25%,682,2,0%,173,25%,199,10%,14%
HYP,333,4%,2,2,3,4,0,7,0,0,16,8,0,0,0,0,-8,-560,0,0,9,6030,0%,22,3,13%,16,72%,68,10%,14%
INH,1632,2%,3,3,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,293,-0,-0%,97,33%,179,10%,14%
KST,285,2%,2,2,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,37,2,6%,8,23%,132,10%,14%
LLD,6485,2%,6,6,4,10,2,16,0,0,24,12,0,0,0,0,10,700,0,0,0,0,25%,1616,2,0%,307,19%,249,10%,14%
MLB,74,3%,1,1,3,5,0,8,0,0,0,0,0,0,0,0,-10,-700,0,0,2,1340,0%,2,0,14%,1,82%,31,10%,14%
NLL,251,2%,2,2,0,5,0,5,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,10,-0,-3%,9,97%,40,10%,14%
PLK,363,2%,2,2,4,4,0,8,0,0,0,0,0,0,8,1,-8,-560,10,25,9,6030,0%,24,4,18%,16,68%,66,10%,14%
SHT,877,2%,6,6,1,7,0,8,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,35,-0,-1%,29,81%,40,10%,14%
TAM,14505,2%,24,24,0,25,2,27,0,0,0,0,0,0,0,0,-68,-4760,0,0,0,0,0%,2237,-17,-0%,207,9%,154,10%,14%
TPD,566,2%,3,3,4,3,0,7,0,0,0,0,0,0,11,1,-8,-560,18,45,7,4690,75%,49,4,9%,28,58%,86,10%,14%
TPP,14620,4%,28,28,9,8,2,19,0,0,57,28,0,0,0,0,18,1260,0,0,9,6030,0%,1629,9,0%,623,38%,111,10%,14%
TRH,9397,3%,13,13,0,26,0,26,0,0,0,0,0,0,10,1,-52,-3640,11,27,8,5360,50%,1918,21,1%,375,19%,204,10%,14%
TRI,2869,2%,5,5,3,5,2,10,0,0,0,0,0,0,49,7,-10,-700,62,155,0,0,0%,613,13,2%,162,26%,213,10%,14%
UEK,11502,7%,11,11,1,14,7,22,0,0,0,0,0,0,0,0,-14,-980,1,2,10,6700,25%,2316,11,0%,445,19%,201,10%,14%
WGK,458,2%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,73,182,0,0,0%,78,10,13%,21,27%,171,10%,14%
AAV,111,3%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,17,-0,-2%,6,39%,154,10%,14%
AGC,5876,2%,6,6,7,9,8,24,0,0,53,26,0,0,0,0,70,4900,0,0,0,0,0%,2706,9,0%,171,6%,460,10%,14%
AHM,1276,2%,7,7,7,11,0,18,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,50%,130,-1,-1%,59,45%,102,10%,14%
ARN,4203,2%,8,8,7,8,2,17,0,0,0,0,0,0,71,10,8,560,0,0,17,11390,0%,1200,20,1%,154,12%,285,10%,14%
ATL,6891,2%,4,4,5,12,5,22,102,132600,0,0,137,1370,0,0,-24,-1680,0,0,0,0,0%,2717,230,8%,116,4%,394,10%,14%
AUC,5093,2%,15,15,9,22,15,46,19,20900,19,9,0,0,0,0,95,6650,0,0,9,6030,0%,3221,62,1%,221,6%,632,10%,14%
AUF,1427,2%,5,5,1,7,3,11,0,0,33,16,0,0,0,0,-18,-1260,0,0,94,62980,25%,431,48,11%,71,16%,302,10%,14%
BTR,19048,2%,25,25,7,26,3,36,30,30000,0,0,0,0,50,7,9,630,0,0,73,48910,0%,2227,198,8%,799,35%,116,10%,14%
CUL,110,2%,1,1,4,5,0,9,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,2,2,83%,0,11%,26,10%,14%
ETV,370,5%,1,1,3,5,2,10,32,20800,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,74,11,15%,20,27%,201,10%,14%
FLU,310,5%,2,2,4,5,0,9,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,14,2,14%,10,72%,46,10%,14%
FRO,535,2%,3,3,5,8,0,13,0,0,0,0,0,0,0,0,-16,-1120,0,0,8,5360,0%,35,3,8%,26,72%,67,10%,14%
JIN,629,2%,1,1,4,8,0,12,0,0,0,0,0,0,8,1,0,0,0,0,8,5360,50%,72,5,7%,43,59%,114,10%,14%
KHM,7164,3%,13,13,5,12,2,19,0,0,0,0,0,0,0,0,14,980,0,0,61,40870,0%,1777,60,3%,318,17%,248,10%,14%
KKV,554,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,50,2,4%,33,67%,90,10%,14%
KSA,5136,6%,10,10,6,11,9,26,6,6000,12,6,37,370,0,0,22,1540,0,0,9,6030,25%,2065,15,0%,255,12%,402,10%,14%
LNV,370,2%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,65,-0,-0%,22,34%,177,10%,14%
LOC,111,2%,1,1,4,5,0,9,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,6,-0,-6%,6,100%,54,10%,14%
MES,895,4%,1,1,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,72,48240,0%,206,27,13%,59,28%,229,10%,14%
MJU,42680,3%,27,27,19,68,19,106,28,29400,73,36,25,250,56,8,133,9310,8,20,106,71020,60%,11516,909,7%,1378,11%,301,10%,14%
MNG,3144,2%,7,7,5,8,3,16,8,8000,0,0,0,0,0,0,19,1330,0,0,9,6030,0%,622,11,1%,89,14%,197,10%,14%
MRV,166,2%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,25%,27,-0,-1%,10,37%,164,10%,14%
OOD,7952,3%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,1139,3,0%,364,31%,143,10%,14%
