Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2880,2%,7,7,0,0,0,12,2,14,0,0,0,0,0,0,0,0,0,-32,-2240,0,0,9,6030,0%,470,3,0%,113,24%,163,17%,23%
COA,92719,1%,62,62,0,0,110,805,34,949,0,254,406400,477,238,9,90,543,81,1989,139230,896,2240,779,521930,75%,197599,138855,70%,2122,1%,2131,17%,23%
FDN,1135,4%,6,6,0,0,4,8,4,16,0,4,4000,0,0,0,0,0,0,-16,-1120,0,0,10,6700,0%,269,6,2%,40,14%,237,17%,23%
HNT,3632,3%,6,6,0,0,2,13,3,18,0,12,12000,0,0,0,0,0,0,4,280,-4,-10,11,7370,0%,987,22,2%,182,18%,271,17%,23%
INH,1773,3%,3,3,1,1,5,6,2,13,0,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,340,2,0%,104,30%,191,17%,23%
KST,308,2%,2,2,1,0,4,6,2,12,0,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,42,2,5%,9,22%,138,17%,23%
NLL,9229,8%,16,16,0,0,6,73,4,83,0,0,0,43,21,0,0,16,2,-165,-11550,24,60,12,8040,0%,2857,36,1%,440,15%,309,17%,23%
PLK,386,5%,2,2,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,-22,-1540,0,0,9,6030,0%,22,3,14%,17,76%,58,17%,23%
SHT,933,2%,6,6,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,-48,-3360,0,0,0,0,0%,33,-4,-12%,30,90%,36,17%,23%
TAM,15538,4%,24,24,0,0,1,121,2,124,0,0,0,0,0,0,0,45,6,-322,-22540,-2,-5,0,0,0%,5518,-196,-3%,224,4%,355,17%,23%
TPP,15705,5%,28,28,0,0,2,12,2,16,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,10,6700,0%,1334,6,0%,657,49%,84,17%,23%
TRH,9987,3%,13,13,0,0,0,53,0,53,0,0,0,0,0,0,0,12,1,-101,-7070,15,37,10,6700,50%,2121,28,1%,394,18%,212,17%,23%
TRI,3094,2%,5,5,0,0,3,6,2,11,0,0,0,0,0,0,0,56,8,-12,-840,71,177,0,0,0%,690,17,2%,171,24%,223,17%,23%
UEK,12181,5%,11,11,0,0,0,59,7,66,0,0,0,0,0,0,0,0,0,-134,-9380,2,5,17,11390,0%,3233,12,0%,465,14%,265,17%,23%
WGK,490,2%,4,4,0,0,5,6,2,13,0,0,0,0,0,0,0,0,0,-12,-840,83,207,0,0,0%,89,12,13%,22,25%,181,17%,23%
AAV,119,4%,1,1,0,0,3,5,2,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,22,2,11%,7,32%,184,17%,23%
AGC,6359,2%,6,6,0,0,8,10,14,32,0,0,0,61,30,0,0,0,0,81,5670,0,0,0,0,0%,3841,11,0%,182,4%,603,17%,23%
AHM,1377,3%,7,7,0,0,14,11,0,25,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,153,-1,-1%,63,41%,111,17%,23%
ARN,4571,2%,8,8,1,0,7,8,7,22,0,0,0,0,0,0,0,87,13,15,1050,0,0,19,12730,0%,1877,23,1%,165,8%,410,17%,23%
ATL,7431,5%,4,4,0,0,6,12,5,23,0,118,188800,0,0,159,1590,0,0,-24,-1680,0,0,0,0,0%,3110,346,11%,123,3%,418,17%,23%
AUC,5515,3%,15,15,1,0,23,8,15,46,0,23,29900,23,11,0,0,0,0,145,10150,0,0,10,6700,0%,3779,35,0%,234,6%,685,17%,23%
AUF,1545,2%,5,5,1,0,1,5,3,9,0,0,0,38,19,0,0,0,0,-18,-1260,0,0,107,71690,0%,469,45,9%,75,16%,303,17%,23%
BTR,20626,2%,25,25,0,0,21,14,5,40,0,35,50750,0,0,0,0,57,8,50,3500,0,0,83,55610,0%,3093,157,5%,854,27%,149,17%,23%
CUL,118,4%,1,1,1,0,4,6,0,10,0,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,3,2,77%,0,11%,28,17%,23%
ETV,398,5%,1,1,1,0,3,6,2,11,0,55,71500,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,113,43,38%,24,21%,284,17%,23%
FLU,332,6%,2,2,0,0,5,5,0,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,17,2,14%,12,69%,53,17%,23%
