# 1:00, 1 Incarnatio(1), 1732 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2801,2%,7,7,3,5,2,10,0,0,0,0,0,0,20,3,-10,-700,33,82,9,6030,0%,947,14,1%,197,20%,338,14%,19%
DOO,969,2%,7,7,1,4,0,5,6,6000,0,0,0,0,0,0,-12,-840,0,0,9,6030,0%,106,11,10%,68,64%,110,14%,19%
DTP,984,5%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,70%,111,-0,-0%,69,62%,112,14%,19%
FDN,1101,2%,6,6,4,7,4,15,4,4000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,159,10,6%,77,48%,144,14%,19%
HYP,344,2%,2,2,3,5,0,8,0,0,17,8,0,0,0,0,-10,-700,0,0,0,0,0%,25,0,0%,24,95%,74,14%,19%
INH,1703,4%,3,3,5,4,2,11,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,276,3,1%,120,43%,162,14%,19%
KST,296,4%,2,2,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,21,-0,-2%,20,98%,71,14%,19%
LLD,6711,2%,6,6,5,10,2,17,0,0,33,16,0,0,0,0,20,1400,0,0,9,6030,0%,5085,13,0%,473,9%,757,14%,19%
MLB,77,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,10,4,38%,5,50%,138,14%,19%
NLL,261,4%,2,2,9,5,0,14,0,0,8,4,0,0,0,0,13,910,-2,-5,15,10050,0%,30,9,31%,18,60%,117,14%,19%
OAK,110207,2%,96,96,36,343,30,409,208,208000,303,151,22,220,283,42,2436,170520,788,1970,571,382570,50%,134115,49262,36%,7777,5%,1438,14%,19%
PLK,372,4%,2,2,4,4,0,8,0,0,0,0,0,0,9,1,-8,-560,11,27,0,0,0%,31,2,8%,26,84%,83,14%,19%
SHT,679,2%,4,4,5,7,0,12,10,10000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,81,17,20%,47,58%,119,14%,19%
TPD,591,5%,3,3,3,3,0,6,0,0,0,0,0,0,15,2,-8,-560,24,60,16,10720,0%,64,13,21%,41,64%,108,14%,19%
TPP,15245,4%,28,28,9,10,2,21,0,0,64,32,0,0,0,0,21,1470,0,0,9,6030,0%,5978,16,0%,1075,17%,392,14%,19%
TRH,7145,2%,3,3,2,18,0,20,14,14000,0,0,0,0,12,1,93,6510,23,57,0,0,0%,8360,92,1%,504,6%,1170,14%,19%
TRI,2973,2%,5,5,3,6,3,12,0,0,0,0,0,0,50,7,-12,-840,87,217,9,6030,0%,1456,45,3%,209,14%,489,14%,19%
UEK,14583,2%,20,20,14,18,5,37,0,0,0,0,0,0,32,4,7,490,81,202,45,30150,0%,9197,123,1%,1029,11%,630,14%,19%
WGK,475,5%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,76,190,9,6030,0%,69,25,36%,33,48%,146,14%,19%
AAV,116,3%,1,1,3,7,3,13,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,-5%,6,-1,-14%,8,117%,59,14%,19%
AGC,6133,2%,6,6,7,22,12,41,0,0,59,29,0,0,0,0,60,4200,0,0,0,0,0%,13253,24,0%,432,3%,2160,14%,19%
AHM,1315,2%,7,7,8,17,0,25,0,0,0,0,0,0,0,0,-36,-2520,0,0,0,0,0%,275,-6,-2%,92,33%,209,14%,19%
ARN,4385,2%,8,8,7,9,7,23,0,0,0,0,0,0,83,12,10,700,0,0,16,10720,0%,6977,33,0%,309,4%,1591,14%,19%
ATL,7135,2%,4,4,5,13,6,24,118,118000,0,0,159,1590,0,0,-26,-1820,0,0,0,0,0%,7297,217,2%,503,6%,1022,14%,19%
AUC,5274,2%,15,15,10,28,11,49,22,22000,22,11,0,0,0,0,88,6160,0,0,0,0,0%,11137,105,0%,372,3%,2111,14%,19%
AUF,1476,2%,5,5,1,5,3,9,0,0,37,18,0,0,0,0,-16,-1120,0,0,78,52260,0%,356,60,16%,104,29%,241,14%,19%
BTR,19756,5%,25,25,8,30,5,43,32,32000,0,0,0,0,52,7,9,630,0,0,78,52260,0%,11838,407,3%,1394,11%,599,14%,19%
CPF,6584,8%,7,7,11,12,6,29,5,5000,0,0,0,0,0,0,11,770,0,0,8,5360,0%,6757,19,0%,464,6%,1026,14%,19%
CUL,114,5%,1,1,4,6,0,10,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,13,4,30%,8,61%,114,14%,19%
ETV,381,2%,1,1,3,4,2,9,50,50000,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,81,42,51%,26,32%,214,14%,19%
FLU,322,2%,2,2,4,8,0,12,0,0,0,0,0,0,0,0,-16,-1120,0,0,7,4690,0%,29,4,15%,22,76%,92,14%,19%
FRO,551,5%,3,3,4,12,0,16,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,43,-3,-7%,38,90%,78,14%,19%
JIN,650,2%,1,1,4,11,0,15,0,0,0,0,0,0,9,1,-3,-210,0,0,0,0,0%,62,1,2%,45,73%,96,14%,19%
KHM,7423,5%,13,13,6,10,0,16,0,0,0,0,0,0,0,0,26,1820,0,0,63,42210,0%,6160,94,1%,523,8%,829,14%,19%
KKV,571,3%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,51,3,6%,40,78%,89,14%,19%
KSA,4731,3%,8,8,6,9,9,24,36,36000,11,5,40,400,0,0,17,1190,0,0,0,0,0%,6837,53,0%,333,4%,1445,14%,19%
LNV,384,2%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,33,3,10%,27,80%,87,14%,19%
LOC,115,2%,1,1,4,4,0,8,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,12,3,28%,8,64%,109,14%,19%
MES,926,2%,1,1,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,54,36180,0%,141,31,22%,65,46%,152,14%,19%
MNG,3265,2%,7,7,5,9,3,17,8,8000,0,0,0,0,0,0,21,1470,0,0,0,0,0%,2162,13,0%,230,10%,662,14%,19%
MRV,173,2%,1,1,3,5,2,10,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,11,-0,-4%,12,104%,67,14%,19%
OOD,8127,5%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,3539,3,0%,573,16%,435,14%,19%
PER,277,5%,1,1,4,8,0,12,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,27,5,19%,19,72%,97,14%,19%
QDT,2670,2%,15,15,5,10,11,26,61,61000,9,4,0,0,0,0,109,7630,0,0,9,6030,0%,2148,123,5%,188,8%,804,14%,19%
QUE,3556,2%,12,12,5,12,5,22,0,0,0,0,0,0,0,0,-28,-1960,0,0,0,0,0%,3747,-3,-0%,250,6%,1053,14%,19%
RIV,774,2%,2,2,3,5,1,9,65,65000,0,0,78,780,0,0,-10,-700,0,0,0,0,0%,140,59,42%,54,39%,180,14%,19%
RJV,227,2%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,20,3,15%,16,78%,89,14%,19%
RNV,383,3%,1,1,3,4,2,9,37,37000,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,68,32,46%,27,39%,178,14%,19%
SDP,30446,4%,7,7,13,46,25,84,68,68000,60,30,0,0,0,0,87,6090,0,0,65,43550,50%,20533,647,3%,2148,10%,674,14%,19%
SKE,811,2%,2,2,5,7,2,14,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,84,-1,-1%,57,67%,104,14%,19%
SMP,21985,4%,5,5,8,35,0,43,0,0,0,0,0,0,156,23,-18,-1260,0,0,75,50250,0%,11974,347,2%,1551,12%,544,14%,19%
SPC,34860,6%,18,18,25,86,14,125,43,43000,64,32,0,0,65,9,131,9170,19,47,101,67670,75%,30083,1493,4%,2459,8%,862,14%,19%
