Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2963,2%,7,7,3,5,2,10,0,0,0,0,0,0,22,3,-10,-700,38,95,11,7370,0%,1138,17,1%,216,18%,384,19%,26%
DOO,1020,2%,7,7,1,5,0,6,7,7000,0,0,0,0,0,0,-14,-980,0,0,11,7370,0%,127,15,12%,74,58%,124,19%,26%
DTP,1042,5%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,-5%,120,-0,-0%,75,62%,115,19%,26%
FDN,1159,5%,6,6,4,7,4,15,4,4000,0,0,0,0,0,0,-14,-980,0,0,11,7370,0%,187,12,6%,84,44%,162,19%,26%
HYP,362,2%,2,2,3,5,0,8,0,0,20,10,0,0,0,0,-10,-700,0,0,0,0,0%,28,0,0%,26,93%,77,19%,26%
INH,1816,4%,3,3,5,4,2,11,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,335,3,1%,132,39%,184,19%,26%
KST,316,4%,2,2,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,23,-0,-3%,23,98%,73,19%,26%
LLD,7106,3%,6,6,6,18,2,26,0,0,38,19,0,0,0,0,9,630,0,0,11,7370,0%,7389,25,0%,517,7%,1039,19%,26%
MLB,81,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,10,6700,0%,12,4,38%,5,48%,151,19%,26%
NLL,277,4%,2,2,9,5,0,14,0,0,8,4,0,0,0,0,12,840,-2,-5,17,11390,0%,34,10,31%,20,58%,125,19%,26%
OAK,114998,3%,96,96,163,481,34,678,304,532000,484,242,76,760,585,87,3968,277760,706,1765,1036,694120,50%,324482,133016,40%,8382,2%,2857,19%,26%
PLK,392,5%,2,2,4,4,0,8,0,0,0,0,0,0,10,1,-8,-560,12,30,0,0,0%,34,3,9%,28,83%,87,19%,26%
SHT,713,2%,4,4,5,7,0,12,12,12000,0,0,0,0,0,0,-14,-980,0,0,11,7370,0%,95,21,22%,52,54%,133,19%,26%
