Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2517,2517,0,2%,7,7,7,1,0,2,5,0,7,6,6,0,0,0,0,0,0,0,17,2,-8,-560,29,72,0,0,50%,212,6,3%,152,71%,84,3%,4%
BHK,4509,4509,0,3%,14,14,14,0,0,6,9,3,18,18,18,0,2,1100,0,0,0,0,55,8,-5,-350,33,82,32,21440,50%,1101,39,3%,289,26%,244,3%,4%
COA,19744,19138,0,2%,9,31,10,0,0,20,32,7,59,52,49,0,27,25650,129,64,0,0,0,0,107,7490,19,47,158,105860,50%,7095,621,8%,877,12%,370,3%,4%
DOO,875,875,0,1%,7,7,7,0,0,2,2,0,4,6,6,0,4,2200,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,48,0,1%,40,82%,55,3%,4%
DTP,883,883,0,1%,2,2,2,1,0,4,3,2,9,9,9,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,183,-0,-0%,75,41%,207,3%,4%
FDN,994,994,0,1%,6,7,6,1,0,4,6,2,12,12,12,0,2,1100,0,0,0,0,0,0,-12,-840,0,0,0,0,50%,154,0,0%,52,34%,155,3%,4%
HNT,2885,2885,0,1%,4,7,4,0,0,1,2,2,5,7,7,0,4,2200,0,0,0,0,0,0,24,1680,0,0,0,0,50%,566,1,0%,226,39%,196,3%,4%
HYP,311,311,0,5%,2,2,2,1,0,0,2,0,2,2,2,0,0,0,10,5,0,0,0,0,-4,-280,0,0,0,0,50%,22,0,0%,21,94%,73,3%,4%
INH,1506,1506,0,1%,3,6,3,1,0,3,3,2,8,8,8,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,306,-0,-0%,127,41%,203,3%,4%
KST,266,266,0,1%,2,2,2,1,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,13,-0,-1%,12,93%,49,3%,4%
LLD,6018,6018,0,1%,6,6,6,1,0,1,6,0,7,7,7,0,0,0,14,7,0,0,0,0,8,560,0,0,0,0,50%,855,1,0%,421,49%,142,3%,4%
MLB,69,69,0,1%,1,1,1,1,0,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,-6,-420,0,0,1,670,50%,2,0,6%,2,91%,38,3%,4%
MTR,1627,1627,0,1%,5,8,5,0,0,3,5,1,9,9,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,308,-0,-0%,118,38%,189,3%,4%
NLL,236,236,0,3%,2,16,2,1,0,4,3,0,7,7,5,0,0,0,4,2,0,0,0,0,-5,-350,0,0,8,5360,50%,15,2,17%,12,79%,66,3%,4%
OAK,58889,57315,2179,3%,39,39,38,0,0,19,169,15,203,175,175,0,62,31000,78,39,0,0,88,13,544,38080,224,560,159,106530,50%,24504,5678,23%,1917,7%,422,3%,4%
PLK,337,337,0,1%,2,4,2,0,0,4,2,0,6,6,6,0,0,0,0,0,0,0,6,0,-4,-280,7,17,0,0,50%,25,1,4%,22,87%,76,3%,4%
SHT,617,617,0,1%,4,7,4,1,0,5,5,0,10,10,10,0,7,3850,0,0,0,0,0,0,-10,-700,0,0,0,0,50%,40,2,5%,31,78%,64,3%,4%
TAM,13470,13470,0,3%,24,24,24,0,0,6,26,2,34,31,31,0,0,0,0,0,0,0,74,11,-21,-1470,0,0,0,0,50%,2292,29,1%,280,12%,170,3%,4%
TPD,530,530,0,2%,3,3,3,1,0,3,1,0,4,6,6,0,0,0,0,0,0,0,9,1,-4,-280,14,35,4,2680,50%,52,2,5%,38,73%,98,3%,4%
TPP,13451,13451,0,4%,28,28,28,0,0,8,9,0,17,14,13,0,0,0,46,23,0,0,0,0,20,1400,0,0,0,0,50%,1696,3,0%,869,51%,126,3%,4%
TRH,9091,6539,0,2%,4,11,11,0,0,3,11,0,14,18,14,0,6,6000,0,0,0,0,33,4,56,3920,53,132,0,0,0%,1648,41,2%,366,22%,252,3%,4%
TRI,2661,2661,0,2%,5,7,5,0,0,3,4,0,7,5,5,0,0,0,0,0,0,0,33,4,-4,-280,42,105,0,0,50%,349,9,2%,219,62%,131,3%,4%
UEK,10463,13015,0,3%,19,21,12,0,1,6,6,3,15,15,15,0,0,0,0,0,0,0,5,0,2,140,21,52,12,8040,25%,2588,15,0%,784,30%,198,3%,4%
WGK,429,429,0,2%,4,4,4,0,0,2,7,0,9,9,9,0,0,0,0,0,0,0,0,0,-14,-980,51,127,0,0,50%,42,9,22%,30,70%,99,3%,4%
AAV,103,103,0,0%,1,1,1,1,0,3,2,2,7,7,7,0,0,0,0,0,0,0,0,0,-4,-280,0,0,0,0,50%,19,-0,-0%,9,47%,187,3%,4%
