Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,3361,0,0,2%,7,7,7,1,0,5,10,2,17,17,17,0,0,0,0,0,0,0,23,3,-20,-1000,39,97,0,0,0%,1391,31,2%,340,24%,414,32%,43%
BHK,6106,0,0,4%,14,14,14,1,1,18,9,3,30,32,32,0,5,6500,0,0,0,0,101,15,5,250,67,167,81,54270,0%,2546,225,8%,615,24%,417,32%,43%
DOO,1158,0,0,3%,7,7,7,1,0,1,5,0,6,9,9,0,7,9100,0,0,0,0,0,0,-12,-600,0,0,11,7370,0%,169,29,17%,104,61%,146,32%,43%
DTP,1191,0,0,4%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,11,7370,0%,492,11,2%,150,30%,413,32%,43%
FDN,1339,0,0,5%,6,7,6,1,0,4,9,4,17,17,17,0,4,5200,0,0,0,0,0,0,-18,-900,0,0,11,7370,0%,782,27,3%,126,16%,583,32%,43%
HNT,3900,0,0,2%,4,7,4,1,0,1,5,3,9,12,12,0,8,9200,0,0,0,0,0,0,32,1600,0,0,0,0,25%,2004,20,1%,464,23%,513,32%,43%
HYP,411,0,0,3%,2,2,2,1,0,4,6,0,10,10,10,0,0,0,22,11,0,0,0,0,-12,-600,0,0,11,7370,0%,76,15,20%,50,66%,186,32%,43%
INH,2078,0,0,4%,3,6,3,1,1,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,11,7370,0%,850,11,1%,269,31%,409,32%,43%
KST,351,0,0,2%,2,2,2,1,0,4,6,2,12,12,12,0,0,0,0,0,0,0,0,0,-12,-600,0,0,0,0,0%,104,-1,-1%,27,26%,298,32%,43%
LLD,8244,0,0,5%,6,6,6,1,0,17,22,2,41,41,41,0,0,0,35,17,0,0,0,0,2,100,0,0,0,0,0%,4727,8,0%,834,17%,573,32%,43%
