Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2428,2428,0,0%,7,7,7,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,14,2,-2,-140,23,57,0,0,50%,172,3,2%,148,86%,70,0%,0%
BHK,4348,4348,0,3%,14,14,14,0,0,3,6,2,11,11,11,0,2,1100,0,0,0,0,57,8,-3,-210,33,82,42,28140,50%,868,47,5%,283,32%,199,0%,0%
COA,18647,18647,0,2%,9,31,9,0,0,26,26,5,57,44,44,0,49,41650,199,99,0,0,0,0,306,21420,28,70,244,163480,0%,8504,1170,13%,868,10%,456,0%,0%
DOO,843,843,0,0%,7,7,7,0,0,0,1,0,1,1,1,0,11,6050,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,43,2,5%,39,90%,51,0%,0%
DTP,851,851,0,0%,2,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,87,0,0%,70,80%,103,0%,0%
FDN,959,959,0,0%,6,7,6,0,0,1,3,2,6,6,6,0,2,1100,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,136,0,0%,51,37%,142,0%,0%
HNT,2781,2781,0,0%,4,7,4,0,0,0,0,0,0,0,0,0,11,6050,0,0,0,0,0,0,18,1260,-2,-5,0,0,50%,214,2,0%,212,99%,77,0%,0%
HYP,300,300,0,0%,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,50%,21,0,0%,21,99%,71,0%,0%
INH,1452,1452,0,0%,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,124,0,0%,124,100%,85,0%,0%
KST,257,257,0,0%,2,2,2,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,-2,-140,0,0,0,0,50%,12,-0,-0%,11,94%,47,0%,0%
LLD,5801,5801,0,0%,6,6,6,0,0,1,2,0,3,3,3,0,0,0,14,7,0,0,0,0,12,840,0,0,0,0,50%,618,0,0%,396,64%,106,0%,0%
MLB,67,67,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,670,50%,2,0,8%,2,92%,37,0%,0%
MTR,1567,1567,0,0%,5,8,5,0,0,1,3,1,5,5,5,0,0,0,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,262,-0,-0%,116,44%,167,0%,0%
NLL,227,227,0,0%,2,16,2,0,0,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,1,70,0,0,6,4020,50%,14,1,9%,12,84%,63,0%,0%
OAK,57847,55724,2122,2%,39,39,39,0,0,27,157,26,210,165,165,0,118,47200,153,76,0,0,189,28,1251,87570,344,860,274,183580,75%,41274,15518,37%,1900,4%,731,0%,0%
PLK,324,324,0,1%,2,4,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,5,12,0,0,50%,23,0,2%,21,88%,72,0%,0%
SHT,595,595,0,0%,4,7,4,0,0,2,3,0,5,5,5,0,6,3300,0,0,0,0,0,0,-6,-420,0,0,0,0,50%,35,1,5%,29,83%,59,0%,0%
TAM,12994,12994,0,3%,24,24,24,0,0,3,19,0,22,22,22,0,0,0,0,0,0,0,74,11,-19,-1330,0,0,0,0,50%,1600,32,2%,275,17%,123,0%,0%
TPD,510,510,0,0%,3,3,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,9,1,0,0,16,40,4,2680,50%,48,2,5%,37,76%,95,0%,0%
TPP,12955,12955,0,3%,28,28,28,0,0,4,3,0,7,7,7,0,0,0,42,21,0,0,0,0,15,1050,-4,-10,0,0,50%,1410,1,0%,850,60%,108,0%,0%
TRH,6319,6319,0,2%,4,11,4,0,0,3,8,0,11,11,11,0,6,3300,0,0,0,0,16,2,18,1260,24,60,0,0,0%,1191,20,1%,359,30%,188,0%,0%
TRI,2564,2564,0,0%,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,42,105,0,0,50%,219,4,2%,215,98%,85,0%,0%
UEK,12554,12554,0,2%,19,21,19,0,0,4,6,3,13,13,13,0,0,0,0,0,0,0,14,2,-4,-280,34,85,20,13400,25%,2030,31,1%,773,38%,161,0%,0%
WGK,413,413,0,0%,4,4,4,0,0,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,-4,-280,47,117,0,0,50%,37,6,16%,28,75%,90,0%,0%
AAV,100,100,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,8,0,0%,8,100%,86,0%,0%
AGC,5252,5252,0,0%,6,6,6,0,0,4,4,5,13,13,13,0,0,0,38,19,0,0,0,0,53,3710,0,0,0,0,50%,1948,6,0%,229,11%,371,0%,0%
AHM,1146,1146,0,2%,7,7,7,0,0,5,7,0,12,12,12,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,25%,121,-0,-0%,80,66%,106,0%,0%
ARN,3734,3734,0,0%,8,14,8,0,0,4,4,1,9,9,9,0,0,0,0,0,0,0,42,6,5,350,0,0,12,8040,50%,960,14,1%,200,20%,257,0%,0%
ATL,6150,6150,0,1%,4,4,4,0,0,2,5,3,10,10,10,0,71,39050,0,0,96,960,0,0,-10,-700,0,0,0,0,50%,2009,97,4%,155,7%,326,0%,0%
AUC,4530,4530,0,0%,15,15,15,0,0,3,11,5,19,16,16,0,13,7150,13,6,0,0,0,0,53,3710,0,0,0,0,50%,1467,19,1%,294,20%,323,0%,0%
AUF,1284,1284,0,0%,5,5,5,0,0,0,2,1,3,6,6,0,0,0,23,11,0,0,0,0,-6,-420,0,0,47,31490,50%,241,20,8%,96,40%,187,0%,0%
BTR,16977,16977,0,3%,25,25,25,0,0,4,9,3,16,16,16,0,21,11550,0,0,0,0,32,4,21,1470,0,0,47,31490,50%,2301,78,3%,1102,47%,135,0%,0%
CPF,325,325,0,3%,1,4,1,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,7,490,0,0,0,0,0%,29,0,0%,26,89%,91,0%,0%
CUL,100,100,0,3%,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,0,0,0%,0,91%,4,0%,0%
ETV,334,334,0,0%,1,1,1,0,0,0,0,0,0,0,0,0,26,14300,0,0,0,0,0,0,0,0,0,0,0,0,50%,33,4,13%,29,87%,98,0%,0%
