From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10058;10153;sea;19539;-1;-1;-1;-1;;Mod_Strait1
10505;10483;sea;18701;-1;-1;-1;-1;;Mod_Strait2
10505;2512;sea;18701;-1;-1;-1;-1;;Mod_Strait3
10483;10586;sea;18701;-1;-1;-1;-1;;Mod_Strait4
2512;10586;sea;18701;-1;-1;-1;-1;;Mod_Strait5
10586;10557;sea;18701;-1;-1;-1;-1;;Mod_Strait6
19562;17421;sea;19919;-1;-1;-1;-1;GRAND_CANAL;Mod_Canal1
18402;19918;sea;9624;-1;-1;-1;-1;HARMONIAN_RIVER1;Mod_Canal2
19918;18582;sea;5872;-1;-1;-1;-1;HARMONIAN_RIVER2;Mod_Canal3
17115;16724;sea;5221;-1;-1;-1;-1;SOUTH_ROUTE;Mod_Canal4
8337;8407;impassable;-1;-1;-1;-1;-1;;impassable
8337;5580;impassable;-1;-1;-1;-1;-1;;impassable
530;5580;impassable;-1;-1;-1;-1;-1;;impassable
530;8427;impassable;-1;-1;-1;-1;-1;;impassable
530;1197;impassable;-1;-1;-1;-1;-1;;impassable
8282;1197;impassable;-1;-1;-1;-1;-1;;impassable
8282;8388;impassable;-1;-1;-1;-1;-1;;impassable
2515;8388;impassable;-1;-1;-1;-1;-1;;impassable
2515;8389;impassable;-1;-1;-1;-1;-1;;impassable
4457;8389;impassable;-1;-1;-1;-1;-1;;impassable
4457;876;impassable;-1;-1;-1;-1;-1;;impassable
5037;876;impassable;-1;-1;-1;-1;-1;;impassable
-1;-1;;-1;-1;-1;-1;-1;-1
