Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Avg_Infra_per_State,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2807,2%,7,7,1,0,3,5,2,10,0,0,0,0,0,0,0,20,3,-10,-700,35,87,9,6030,0%,441,10,2%,111,25%,157,14%,19%
COA,90529,2%,62,62,1,0,120,594,34,748,0,223,289900,361,180,8,80,447,67,1438,100660,681,1702,682,456940,75%,137569,86240,62%,2052,1%,1519,14%,19%
FDN,1098,3%,6,6,0,0,4,8,4,16,0,4,4000,0,0,0,0,0,0,-16,-1120,0,0,9,6030,0%,259,6,2%,39,15%,236,14%,19%
HNT,3530,4%,6,6,1,0,2,10,2,14,0,10,10000,0,0,0,0,0,0,-10,-700,-2,-5,10,6700,0%,821,16,1%,178,21%,232,14%,19%
INH,1703,4%,3,3,1,0,5,5,2,12,0,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,309,2,0%,101,32%,181,14%,19%
KST,296,2%,2,2,1,0,4,6,2,12,0,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,40,2,5%,9,22%,135,14%,19%
NLL,8981,3%,16,16,0,0,5,25,4,34,0,0,0,36,18,0,0,13,1,-40,-2800,22,55,9,6030,0%,2442,26,1%,431,17%,271,14%,19%
PLK,377,2%,2,2,0,0,4,4,0,8,0,0,0,0,0,0,0,9,1,-8,-560,11,27,9,6030,0%,25,4,18%,17,66%,68,14%,19%
SHT,906,2%,6,6,1,0,0,16,0,16,0,0,0,0,0,0,0,0,0,-44,-3080,0,0,0,0,0%,33,-3,-10%,29,88%,37,14%,19%
TAM,15080,4%,24,24,0,0,1,87,2,90,0,0,0,0,0,0,0,0,0,-232,-16240,0,0,0,0,0%,4098,-145,-3%,219,5%,271,14%,19%
TPP,15257,4%,28,28,1,1,9,10,2,21,0,0,0,64,32,0,0,0,0,24,1680,0,0,9,6030,0%,1702,12,0%,644,37%,111,14%,19%
TRH,9697,2%,13,13,1,0,0,37,0,37,0,0,0,0,0,0,0,12,1,-71,-4970,13,32,9,6030,50%,2082,27,1%,384,18%,214,14%,19%
TRI,2983,2%,5,5,0,0,3,5,2,10,0,0,0,0,0,0,0,52,7,-10,-700,67,167,0,0,0%,661,14,2%,167,25%,221,14%,19%
UEK,11886,7%,11,11,1,0,0,30,7,37,0,0,0,0,0,0,0,0,0,-59,-4130,2,5,15,10050,0%,2698,19,0%,458,16%,227,14%,19%
WGK,474,2%,4,4,1,0,4,6,2,12,0,0,0,0,0,0,0,0,0,-12,-840,78,195,0,0,0%,83,11,13%,21,26%,176,14%,19%
AAV,115,3%,1,1,0,0,3,5,2,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,8,5360,0%,21,2,11%,6,33%,182,14%,19%
AGC,6106,2%,6,6,0,0,7,9,12,28,0,0,0,57,28,0,0,0,0,76,5320,0,0,0,0,0%,3247,9,0%,176,5%,531,14%,19%
AHM,1326,2%,7,7,0,0,11,11,0,22,0,0,0,0,0,0,0,0,0,-24,-1680,0,0,0,0,0%,139,-1,-1%,61,43%,105,14%,19%
ARN,4383,2%,8,8,0,0,7,8,6,21,0,0,0,0,0,0,0,76,11,10,700,0,0,18,12060,0%,1667,21,1%,159,9%,380,14%,19%
ATL,7160,2%,4,4,0,0,5,12,5,22,0,102,147900,0,0,137,1370,0,0,-24,-1680,0,0,0,0,0%,2842,263,9%,119,4%,396,14%,19%
AUC,5300,3%,15,15,1,0,19,12,15,46,0,22,26400,22,11,0,0,0,0,128,8960,0,0,10,6700,0%,3507,46,1%,227,6%,661,14%,19%
AUF,1484,2%,5,5,1,0,1,5,3,9,0,0,0,36,18,0,0,0,0,-18,-1260,0,0,100,67000,0%,433,42,9%,73,16%,291,14%,19%
BTR,19821,2%,25,25,0,0,11,24,5,40,0,32,38400,0,0,0,0,54,8,17,1190,0,0,78,52260,0%,2728,213,7%,823,30%,137,14%,19%
CUL,114,2%,1,1,1,0,4,6,0,10,0,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,3,2,78%,0,10%,29,14%,19%
ETV,384,5%,1,1,1,0,3,5,2,10,0,39,46800,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,88,25,28%,22,25%,230,14%,19%
FLU,321,5%,2,2,0,0,4,6,0,10,0,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,15,2,16%,11,70%,49,14%,19%
FRO,554,2%,3,3,0,0,8,6,0,14,0,0,0,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,38,2,6%,27,70%,70,14%,19%
JIN,651,2%,1,1,0,0,7,8,0,15,0,0,0,0,0,0,0,9,1,1,70,0,0,9,6030,0%,76,5,7%,44,57%,117,14%,19%
KHM,7444,2%,13,13,0,0,5,12,2,19,0,0,0,0,0,0,0,0,0,18,1260,0,0,66,44220,0%,1902,67,3%,327,17%,255,14%,19%
KKV,573,5%,1,1,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,52,2,3%,34,65%,91,14%,19%
KSA,5312,5%,10,10,1,1,6,13,9,28,0,42,46200,14,7,42,420,0,0,28,1960,0,0,9,6030,25%,2275,68,3%,263,11%,428,14%,19%
LNV,384,3%,1,1,0,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,67,2,3%,23,34%,175,14%,19%
LOC,115,2%,1,1,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,6,-0,-5%,6,100%,54,14%,19%
MES,926,5%,1,1,1,0,4,5,2,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,72,48240,0%,219,27,12%,60,27%,237,14%,19%
MJU,77538,3%,27,45,0,0,27,88,19,134,0,39,50700,87,43,25,250,56,8,79,5530,11,27,107,71690,50%,13658,1190,8%,1402,10%,347,14%,19%
MNG,3267,3%,7,7,0,0,6,9,3,18,0,10,10000,0,0,0,0,0,0,21,1470,0,0,9,6030,0%,654,14,2%,94,14%,200,14%,19%
MRV,173,2%,1,1,1,0,3,5,2,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,30,2,7%,10,34%,175,14%,19%
OOD,8264,4%,1,1,0,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,1511,3,0%,375,24%,182,14%,19%
PER,277,5%,1,1,1,0,6,5,0,11,0,0,0,0,0,0,0,0,0,-1,-70,0,0,7,4690,0%,22,2,11%,16,75%,81,14%,19%
QDT,2666,5%,15,15,0,0,9,11,10,30,0,61,88450,9,4,0,0,0,0,105,7350,0,0,0,0,0%,1594,95,5%,94,5%,597,14%,19%
QUE,3554,2%,12,12,0,0,5,13,5,23,0,0,0,0,0,0,0,0,0,-30,-2100,0,0,7,4690,0%,1224,2,0%,163,13%,344,14%,19%
RIV,783,2%,2,2,1,0,3,6,3,12,0,70,101500,0,0,84,840,0,0,-12,-840,0,0,9,6030,0%,247,67,27%,47,19%,316,14%,19%
RJV,226,5%,1,1,0,0,3,5,0,8,0,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,19,2,11%,14,74%,84,14%,19%
RNV,385,3%,1,1,0,0,3,4,2,9,0,37,48100,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,93,26,28%,23,24%,242,14%,19%
SDP,30187,7%,7,7,0,0,25,43,20,88,0,68,98600,71,35,0,0,0,0,122,8540,0,0,84,56280,50%,8887,781,8%,853,9%,294,14%,19%
SKE,813,5%,2,2,0,0,5,6,2,13,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,152,-0,-0%,49,32%,187,14%,19%
SMP,21831,3%,5,5,0,0,1,17,0,18,0,0,0,0,0,0,0,150,22,6,420,0,0,90,60300,0%,3442,264,7%,848,24%,157,14%,19%
SPP,30918,3%,7,7,0,0,3,13,15,31,0,72,104400,0,0,0,0,0,0,69,4830,0,0,0,0,0%,8295,415,5%,530,6%,268,14%,19%
SRV,382,5%,1,1,1,0,4,9,5,18,0,44,57200,0,0,0,0,0,0,-18,-1260,0,0,0,0,0%,168,44,26%,12,7%,442,14%,19%
TNV,288,2%,1,1,1,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,50,2,4%,17,34%,174,14%,19%
UMB,2083,5%,4,4,0,0,4,9,7,20,0,0,0,0,0,0,0,0,0,11,770,0,0,0,0,0%,944,0,0%,106,11%,453,14%,19%
USV,115,2%,1,1,0,0,3,4,2,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,17,1,11%,4,25%,151,14%,19%
WEA,233,5%,1,1,1,0,4,7,2,13,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,38,-0,-1%,14,38%,165,14%,19%
HHE,113403,3%,169,76,0,0,23,77,24,124,0,90,90000,26,13,54,540,63,9,269,18830,59,147,72,48240,50%,23280,2503,10%,9269,39%,89,14%,19%
AVE,142,2%,2,2,1,0,6,7,0,13,0,0,0,0,0,0,0,0,0,28,1960,0,0,36,24120,0%,22,16,75%,3,17%,157,14%,19%
ANA,642,2%,2,2,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,38,-0,-0%,28,74%,60,14%,19%
BIU,193,5%,2,2,1,0,8,4,2,14,0,0,0,0,0,0,0,0,0,60,4200,0,0,37,24790,25%,45,14,31%,10,23%,234,14%,19%
CPV,20603,9%,15,15,1,0,23,25,4,52,0,66,66000,20,10,0,0,48,7,125,8750,123,307,90,60300,25%,5754,443,7%,1114,19%,279,14%,19%
DOC,6157,2%,4,11,1,0,10,11,0,21,0,0,0,0,0,0,0,57,8,1,70,89,222,28,18760,0%,584,45,7%,187,32%,191,14%,19%
ERP,736,3%,2,2,1,0,3,6,2,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,114,-0,-0%,36,32%,155,14%,19%
FIK,1819,2%,3,3,0,0,4,6,2,12,0,0,0,0,0,0,0,0,0,-2,-140,0,0,7,4690,0%,357,3,0%,104,29%,196,14%,19%
HPV,2031,4%,9,9,1,0,8,7,1,16,0,23,23000,0,0,0,0,0,0,-16,-1120,0,0,0,0,0%,190,13,7%,89,47%,174,14%,19%
IHS,2351,5%,3,3,0,0,5,3,1,9,0,10,10000,0,0,0,0,0,0,3,210,0,0,0,0,0%,333,5,1%,110,33%,141,14%,19%
KGK,7941,3%,10,10,0,0,8,13,2,23,0,0,0,0,0,0,0,0,0,-11,-770,15,37,0,0,0%,1819,4,0%,422,23%,287,14%,19%
LEE,2404,2%,6,6,1,0,3,6,2,11,0,0,0,0,0,0,0,0,0,-12,-840,0,0,7,4690,0%,428,2,0%,98,23%,178,14%,19%
LRO,426,2%,4,4,1,0,2,6,0,8,0,0,0,0,0,0,0,0,0,-14,-980,0,0,7,4690,0%,25,2,8%,18,72%,60,14%,19%
MRC,144663,8%,25,77,1,0,90,201,44,335,0,150,240000,240,120,30,300,106,15,597,41790,224,560,224,150080,75%,29834,7061,23%,1128,3%,782,14%,19%
