# 1:00, 1 Incarnatio(1), 1730 Data
Country_Tag,Country_Population_K,Conscription_Rate,Num_Owned_States,Num_Controlled_States,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Oil_Units,Oil_BarrelsK,Aluminium_Units,Aluminium_TonsK,Rubber_Units,Rubber_TonsK,Tungsten_Units,Tungsten_TonsK,Steel_Units,Steel_TonsK,Chromium_Units,Chromium_TonsK,Coal,Coal_ShortTonsK,Maximum_Potential_Exporting,Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Efficiency
ABL,2699,2%,7,7,3,6,0,9,0,0,0,0,0,0,18,2,-10,-700,31,77,9,6030,75%,708,17,2%,186,26%,262,10%,14%
DOO,937,2%,7,7,1,4,0,5,5,5000,0,0,0,0,0,0,-12,-840,0,0,8,5360,0%,97,9,9%,64,66%,104,10%,14%
DTP,947,2%,2,2,4,4,2,10,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,70%,100,-0,-0%,65,65%,105,10%,14%
FDN,1065,2%,6,6,4,7,4,15,4,4000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,145,10,7%,73,50%,136,10%,14%
HYP,333,2%,2,2,3,5,0,8,0,0,16,8,0,0,0,0,-10,-700,0,0,0,0,0%,24,0,0%,23,95%,72,10%,14%
INH,1632,2%,3,3,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,244,3,1%,112,46%,149,10%,14%
KST,285,3%,2,2,4,5,2,11,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,19,-0,-3%,19,99%,69,10%,14%
LLD,6462,2%,6,6,5,10,2,17,0,0,26,13,0,0,0,0,11,770,0,0,9,6030,0%,4757,12,0%,446,9%,736,10%,14%
MLB,74,2%,1,1,3,4,0,7,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,10,4,40%,5,50%,135,10%,14%
MTR,1739,6%,5,5,4,7,1,12,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,314,-1,-0%,120,38%,180,10%,14%
NLL,252,4%,2,2,7,4,0,11,0,0,7,3,0,0,0,0,-6,-420,0,0,14,9380,0%,26,6,26%,17,66%,103,10%,14%
OAK,104817,2%,90,90,72,281,30,383,165,165000,198,99,6,60,230,34,1982,138740,608,1520,425,284750,50%,110799,28360,25%,7233,6%,1226,10%,14%
PLK,360,2%,2,2,4,4,0,8,0,0,0,0,0,0,8,1,-8,-560,10,25,0,0,0%,28,2,8%,24,85%,80,10%,14%
SHT,658,2%,4,4,5,7,0,12,10,10000,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,76,16,22%,45,59%,116,10%,14%
TPD,569,2%,3,3,3,3,0,6,0,0,0,0,0,0,14,2,-8,-560,23,57,15,10050,25%,60,13,22%,39,64%,107,10%,14%
TPP,14608,2%,28,28,7,9,2,18,0,0,60,30,0,0,0,0,18,1260,0,0,9,6030,0%,5559,14,0%,1008,18%,380,10%,14%
TRH,6917,2%,3,3,2,11,0,13,8,8000,0,0,0,0,10,1,87,6090,19,47,0,0,0%,5688,42,0%,477,8%,822,10%,14%
TRI,2862,2%,5,5,3,11,2,16,0,0,0,0,0,0,47,7,-12,-840,81,202,9,6030,75%,1175,48,4%,197,16%,410,10%,14%
UEK,14048,2%,20,20,14,16,3,33,0,0,0,0,0,0,19,2,-3,-210,48,120,31,20770,0%,7458,74,0%,969,12%,530,10%,14%
WGK,459,5%,4,4,4,6,2,12,0,0,0,0,0,0,0,0,-12,-840,71,177,9,6030,0%,64,23,36%,31,49%,140,10%,14%
AAV,111,3%,1,1,3,6,0,9,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,-5%,6,-0,-12%,7,115%,59,10%,14%
AGC,5881,2%,6,6,7,15,9,31,0,0,55,27,0,0,0,0,67,4690,0,0,0,0,0%,9609,16,0%,405,4%,1634,10%,14%
AHM,1271,2%,7,7,8,13,0,21,0,0,0,0,0,0,0,0,-28,-1960,0,0,0,0,0%,235,-3,-1%,87,37%,184,10%,14%
ARN,4198,2%,8,8,7,9,2,18,0,0,0,0,0,0,77,11,8,560,0,0,15,10050,0%,4483,30,0%,289,6%,1067,10%,14%
ATL,6867,2%,4,4,5,13,3,21,110,110000,0,0,148,1480,0,0,-26,-1820,0,0,0,0,0%,5945,200,3%,473,7%,865,10%,14%
AUC,5067,2%,15,15,10,19,11,40,20,20000,20,10,0,0,0,0,75,5250,0,0,0,0,0%,9301,65,0%,349,3%,1835,10%,14%
AUF,1424,2%,5,5,1,7,3,11,0,0,34,17,0,0,0,0,-16,-1120,0,0,72,48240,25%,333,58,17%,98,29%,234,10%,14%
BTR,19012,6%,25,25,8,25,5,38,30,30000,0,0,0,0,48,7,14,980,0,0,73,48910,0%,10294,313,3%,1312,12%,541,10%,14%
CPF,6331,6%,7,7,7,11,6,24,4,4000,0,0,0,0,0,0,10,700,0,0,0,0,0%,6267,7,0%,436,6%,989,10%,14%
CUL,110,5%,1,1,4,5,0,9,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,12,3,30%,7,63%,108,10%,14%
ETV,369,2%,1,1,3,4,2,9,47,47000,0,0,0,0,0,0,-8,-560,0,0,8,5360,0%,74,39,52%,25,34%,200,10%,14%
FLU,311,2%,2,2,4,7,0,11,0,0,0,0,0,0,0,0,-14,-980,0,0,7,4690,0%,27,4,15%,21,77%,89,10%,14%
FRO,533,5%,3,3,4,8,0,12,0,0,0,0,0,0,0,0,-16,-1120,0,0,0,0,0%,40,-1,-3%,36,90%,76,10%,14%
JIN,629,2%,1,1,4,8,0,12,0,0,0,0,0,0,9,1,1,70,0,0,0,0,0%,56,1,3%,43,77%,89,10%,14%
KHM,7144,2%,13,13,6,10,0,16,0,0,0,0,0,0,0,0,18,1260,0,0,55,36850,0%,5988,82,1%,493,8%,838,10%,14%
KKV,553,3%,1,1,3,4,2,9,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,75%,44,-0,-1%,38,86%,79,10%,14%
KSA,4557,3%,8,8,6,9,6,21,5,5000,10,5,37,370,0,0,14,980,0,0,0,0,0%,6210,12,0%,314,5%,1362,10%,14%
