Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Agriculture_Sector_GDP_USD_M,Agriculture_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2753,2753,0,5%,7,7,7,1,0,3,6,2,11,11,11,0,0,0,0,0,0,0,22,3,-12,-840,37,92,9,6030,0%,508,16,3%,159,31%,184,12%,16%
DOO,950,950,0,2%,7,7,7,1,0,2,3,0,5,8,8,0,6,6000,0,0,0,0,0,0,-10,-700,0,0,9,6030,0%,59,6,11%,42,71%,62,12%,16%
DTP,960,960,0,2%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-560,0,0,8,5360,25%,218,3,1%,81,37%,227,12%,16%
FDN,1083,1083,0,2%,6,7,6,1,0,4,7,4,15,15,15,0,3,3000,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,269,2,0%,56,20%,248,12%,16%
HYP,339,339,0,5%,2,2,2,1,0,3,4,0,7,7,7,0,0,0,17,8,0,0,0,0,-8,-560,0,0,9,6030,0%,32,4,13%,24,76%,94,12%,16%
INH,1658,1658,0,2%,3,6,3,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,25%,345,-0,-0%,135,39%,208,12%,16%
KST,290,290,0,5%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,40,-0,-0%,13,32%,138,12%,16%
LLD,6588,6588,0,2%,6,6,6,1,0,6,9,2,17,17,17,0,0,0,19,9,0,0,0,0,17,1190,0,0,0,0,-5%,2262,3,0%,487,21%,343,12%,16%
MLB,75,75,0,2%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,9,6030,0%,6,3,54%,2,39%,88,12%,16%
MTR,1784,1784,0,3%,5,8,5,1,0,4,8,3,15,15,15,0,0,0,0,0,0,0,0,0,-16,-1120,0,0,0,0,0%,517,-0,-0%,132,25%,289,12%,16%
NLL,257,257,0,4%,2,16,2,1,0,9,5,0,14,14,9,0,0,0,5,2,0,0,0,0,5,350,-2,-5,10,6700,0%,19,4,25%,13,68%,76,12%,16%
OAK,98110,92433,0,2%,66,66,67,0,0,56,346,38,440,336,330,0,158,205400,542,271,9,90,239,35,994,69580,401,1002,589,394630,50%,90271,60106,66%,3521,3%,976,12%,16%
PLK,370,370,0,5%,2,4,2,0,0,4,4,0,8,8,8,0,0,0,0,0,0,0,8,1,-8,-560,10,25,0,0,0%,29,2,7%,24,82%,80,12%,16%
SHT,669,669,0,2%,4,7,4,1,0,5,7,0,12,12,12,0,11,7700,0,0,0,0,0,0,-14,-980,0,0,9,6030,0%,54,12,22%,33,62%,80,12%,16%
TAM,14712,14712,0,3%,24,24,24,0,0,7,31,2,40,40,40,0,0,0,0,0,0,0,106,15,-16,-1120,0,0,9,6030,0%,3919,129,3%,319,8%,266,12%,16%
TPD,576,576,0,2%,3,3,3,1,0,3,3,0,6,8,8,0,0,0,0,0,0,0,14,2,-8,-560,23,57,7,4690,0%,64,7,11%,43,67%,112,12%,16%
TPP,14921,14921,0,4%,28,28,28,1,1,9,9,0,18,18,16,0,0,0,60,30,0,0,0,0,22,1540,0,0,9,6030,0%,1828,15,0%,925,50%,122,12%,16%
TRH,9448,9448,0,5%,12,29,12,1,0,6,13,0,19,21,21,0,6,6000,0,0,0,0,38,5,60,4200,67,167,12,8040,0%,2404,104,4%,537,22%,254,12%,16%
TRI,2942,2942,0,2%,7,7,7,1,0,3,5,3,11,13,13,0,0,0,0,0,0,0,52,7,-12,-840,86,215,0,0,0%,883,25,2%,240,27%,300,12%,16%
UEK,11782,11782,0,7%,11,21,11,1,0,6,7,3,16,16,16,0,0,0,0,0,0,0,0,0,1,70,1,2,11,7370,0%,2564,12,0%,662,25%,217,12%,16%
WGK,467,467,0,2%,4,4,4,1,0,4,7,2,13,13,13,0,0,0,0,0,0,0,0,0,-14,-980,71,177,0,0,0%,97,15,16%,32,32%,208,12%,16%
AAV,112,112,0,2%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,75%,22,-0,-1%,10,43%,203,12%,16%
AGC,5997,5997,0,2%,6,6,6,1,0,7,12,9,28,28,27,0,0,0,63,31,0,0,0,0,76,5320,0,0,0,0,0%,2897,15,0%,254,8%,483,12%,16%
AHM,1292,1292,0,2%,7,7,7,0,0,12,11,0,23,26,26,0,0,0,0,0,0,0,0,0,-26,-1820,0,0,0,0,0%,157,-1,-1%,87,55%,122,12%,16%
ARN,4285,4285,0,2%,8,14,8,1,0,7,9,6,22,22,22,0,0,0,0,0,0,0,74,11,8,560,0,0,30,20100,0%,1881,43,2%,232,12%,439,12%,16%
ATL,7015,7015,0,2%,4,4,4,1,0,5,13,6,24,24,23,0,93,134850,0,0,125,1250,0,0,-26,-1820,0,0,0,0,0%,3570,483,13%,171,4%,508,12%,16%
AUC,5180,5180,0,2%,15,15,15,1,0,19,20,11,50,44,43,0,21,21000,21,10,0,0,0,0,102,7140,0,0,0,0,0%,2864,65,2%,323,11%,552,12%,16%
AUF,1456,1456,0,2%,5,5,5,1,0,1,6,3,10,17,16,0,0,0,38,19,0,0,0,0,-18,-1260,0,0,78,52260,0%,445,51,11%,106,23%,305,12%,16%
BTR,19372,19372,0,2%,25,25,25,0,0,12,23,5,40,40,40,0,32,35200,0,0,0,0,54,8,26,1820,0,0,78,52260,0%,3243,292,9%,1194,36%,167,12%,16%
CUL,112,112,0,3%,1,3,1,0,0,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,3,2,80%,0,14%,30,12%,16%
ETV,375,375,0,3%,1,1,1,1,0,3,6,2,11,11,11,0,60,87000,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,154,73,47%,36,23%,410,12%,16%
FLU,317,317,0,3%,2,2,2,0,0,5,7,0,12,12,12,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,0%,18,-0,-3%,17,92%,59,12%,16%
FRO,542,542,0,2%,3,3,3,0,0,7,9,0,16,16,16,0,0,0,0,0,0,0,0,0,-18,-1260,0,0,0,0,0%,45,-0,-2%,37,84%,83,12%,16%
JIN,638,638,0,2%,1,1,1,0,0,4,10,0,14,14,14,0,0,0,0,0,0,0,9,1,-3,-210,0,0,9,6030,0%,94,8,9%,63,67%,148,12%,16%
KHM,7249,7249,0,5%,13,13,13,1,0,7,12,0,19,25,25,0,0,0,0,0,0,0,0,0,23,1610,0,0,78,52260,0%,1835,114,6%,466,25%,253,12%,16%
KKV,567,567,0,2%,1,1,1,1,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,116,-0,-0%,50,43%,205,12%,16%
KSA,4656,4656,0,2%,8,10,8,0,0,6,11,8,25,23,23,0,7,7000,14,7,37,370,0,0,28,1960,0,0,9,6030,25%,2114,23,1%,350,16%,454,12%,16%
LNV,376,376,0,3%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,25%,42,3,7%,32,74%,113,12%,16%
LOC,112,112,0,3%,1,1,1,0,1,4,4,0,8,8,8,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,12,2,22%,9,73%,109,12%,16%
MES,909,909,0,5%,1,1,1,0,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-700,0,0,71,47570,0%,258,38,14%,90,35%,283,12%,16%
MJU,44300,37104,7195,3%,29,23,29,0,0,22,84,18,124,104,104,0,28,36400,67,33,23,230,51,7,113,7910,9,22,125,83750,50%,14761,1996,13%,2106,14%,373,12%,16%
MNG,3200,3200,0,2%,7,7,7,0,0,6,8,3,17,17,17,0,8,8000,0,0,0,0,0,0,20,1400,0,0,0,0,0%,654,9,1%,131,20%,204,12%,16%
MRV,169,169,0,2%,1,1,1,1,0,3,5,2,10,10,10,0,0,0,0,0,0,0,0,0,-10,-700,0,0,7,4690,0%,35,3,8%,15,42%,209,12%,16%
OOD,8088,8088,0,3%,1,1,1,0,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-560,0,0,0,0,0%,1338,-0,-0%,539,40%,165,12%,16%
PER,272,272,0,5%,1,1,1,1,0,6,7,0,13,13,13,0,0,0,0,0,0,0,0,0,-7,-490,0,0,0,0,0%,24,-0,-1%,22,91%,90,12%,16%
QDT,2611,2611,0,2%,15,16,15,0,0,6,11,10,27,30,30,0,54,70200,7,3,0,0,0,0,89,6230,0,0,0,0,0%,1555,106,6%,135,8%,595,12%,16%
QUE,3490,3490,0,5%,12,12,12,0,0,5,15,5,25,29,29,0,0,0,0,0,0,0,0,0,-34,-2380,0,0,7,4690,0%,1334,5,0%,238,17%,382,12%,16%
RIV,763,763,0,2%,2,2,2,1,0,3,5,2,10,10,10,0,65,94250,0,0,78,780,0,0,-10,-700,0,0,8,5360,0%,244,82,33%,67,27%,320,12%,16%
RJV,222,222,0,2%,1,1,1,0,0,3,4,2,9,9,9,0,0,0,0,0,0,0,0,0,-8,-560,0,0,7,4690,0%,45,2,6%,19,43%,206,12%,16%
RNV,376,376,0,3%,1,1,1,1,0,3,5,2,10,10,10,0,37,44400,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,107,33,31%,33,31%,285,12%,16%
SDP,30007,30007,0,4%,7,28,7,1,0,33,29,15,77,49,49,0,51,73950,76,38,0,0,0,0,111,7770,0,0,82,54940,0%,8942,722,8%,1265,14%,297,12%,16%
SKE,791,791,0,2%,2,2,2,1,0,5,7,3,15,15,15,0,0,0,0,0,0,0,0,0,-14,-980,0,0,0,0,-5%,208,-0,-0%,71,34%,263,12%,16%
SMP,21482,21482,0,4%,5,5,5,0,0,3,17,0,20,35,35,0,0,0,0,0,0,0,153,22,6,420,0,0,73,48910,0%,5653,393,6%,1222,21%,263,12%,16%
SPP,30552,30552,0,4%,7,17,7,0,0,3,11,14,28,40,40,0,72,104400,0,0,0,0,0,0,65,4550,0,0,0,0,-5%,8909,646,7%,785,8%,291,12%,16%
SRV,375,375,0,2%,1,1,1,1,0,4,8,4,16,16,16,0,49,63700,0,0,0,0,0,0,-16,-1120,0,0,0,0,0%,174,66,38%,18,10%,464,12%,16%
TNV,282,282,0,4%,1,1,1,1,0,8,5,2,15,15,10,0,0,0,0,0,0,0,0,0,5,350,-2,-5,0,0,0%,53,-0,-0%,24,44%,189,12%,16%
UMB,2055,2055,0,4%,4,4,4,0,0,4,10,6,20,20,20,0,0,0,0,0,0,0,0,0,11,770,0,0,10,6700,0%,894,9,1%,153,17%,435,12%,16%
USV,113,113,0,2%,1,1,1,1,0,3,5,2,10,10,9,0,0,0,0,0,0,0,0,0,-10,-700,0,0,0,0,0%,16,-0,-2%,6,38%,148,12%,16%
WEA,227,227,0,2%,1,1,1,0,0,4,6,2,12,12,12,0,0,0,0,0,0,0,0,0,-12,-840,0,0,0,0,0%,46,-0,-1%,22,48%,204,12%,16%
HHE,31637,70987,100135,5%,89,14,33,0,0,7,10,6,23,43,43,0,20,26000,5,2,10,100,11,1,-11,-770,31,77,14,9380,50%,1275,-316,-24%,8084,633%,12,12%,16%
