Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency
ABL,2754,0,0,2%,7,7,7,1,0,3,10,2,15,12,12,0,0,0,0,0,0,0,20,3,-14,-700,35,87,0,0,75%,1001,30,3%,267,26%,363,12%,16%
BHK,4938,0,0,4%,14,14,14,1,1,5,23,3,31,26,26,0,3,2100,0,0,0,0,79,11,-13,-650,49,122,44,29480,75%,2267,264,11%,476,21%,459,12%,16%
COA,23083,0,0,5%,9,31,11,0,0,27,29,14,70,72,60,0,49,71050,200,100,0,0,0,0,306,15300,23,57,305,204350,0%,13340,2160,16%,1182,8%,661,12%,16%
DOO,955,0,0,3%,7,7,7,1,0,1,5,0,6,9,9,0,6,4200,0,0,0,0,0,0,-12,-600,0,0,0,0,75%,107,6,6%,82,76%,112,12%,16%
DTP,966,0,0,3%,2,2,2,1,0,4,4,2,10,10,10,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,349,-0,-0%,117,33%,361,12%,16%
FDN,1091,0,0,5%,6,7,6,1,0,4,8,4,16,16,16,0,4,2200,0,0,0,0,0,0,-16,-800,0,0,0,0,75%,538,3,0%,98,18%,493,12%,16%
HNT,3155,0,0,2%,4,7,4,1,0,1,5,3,9,12,12,0,7,4900,0,0,0,0,0,0,27,1350,0,0,0,0,25%,1531,12,0%,360,23%,485,12%,16%
HYP,339,0,0,3%,2,2,2,1,0,3,6,0,9,9,9,0,0,0,17,8,0,0,0,0,-12,-600,0,0,0,0,25%,43,0,1%,38,89%,127,12%,16%
INH,1655,0,0,4%,3,6,3,1,0,5,4,2,11,11,9,0,0,0,0,0,0,0,0,0,-8,-400,0,0,0,0,75%,593,-0,-0%,205,34%,358,12%,16%
KST,290,0,0,2%,2,2,2,1,0,4,5,2,11,11,11,0,0,0,0,0,0,0,0,0,-10,-500,0,0,0,0,25%,75,-0,-1%,21,28%,259,12%,16%
LLD,6623,0,0,5%,6,6,6,1,0,4,15,2,21,19,19,0,0,0,22,11,0,0,0,0,2,100,0,0,0,0,75%,3186,4,0%,581,18%,481,12%,16%
MLB,75,0,0,3%,1,1,1,1,0,3,4,0,7,7,7,0,0,0,0,0,0,0,0,0,-8,-400,0,0,2,1340,75%,8,1,19%,6,77%,109,12%,16%
MTR,1783,0,0,2%,5,8,5,1,0,4,7,3,14,14,14,0,0,0,0,0,0,0,0,0,-14,-700,0,0,0,0,25%,864,-1,-0%,181,20%,484,12%,16%
NLL,256,0,0,4%,2,16,2,1,0,9,7,0,16,16,11,0,0,0,8,4,0,0,0,0,6,300,-2,-5,17,11390,25%,49,24,50%,22,44%,191,12%,16%
OAK,59492,0,0,8%,39,39,37,0,0,32,167,17,216,200,200,0,67,56950,92,46,0,0,96,14,688,34400,248,620,192,128640,25%,48889,11445,23%,2553,5%,802,12%,16%
PLK,368,0,0,4%,2,4,2,1,0,4,4,0,8,8,8,0,0,0,0,0,0,0,9,1,-8,-400,11,27,0,0,25%,50,6,12%,40,79%,137,12%,16%
SHT,672,0,0,2%,4,7,4,1,0,5,10,0,15,14,14,0,10,7000,0,0,0,0,0,0,-18,-900,0,0,0,0,75%,79,16,20%,54,68%,118,12%,16%
