Country_Tag,Country_Population_K,Country_Core_Population_K,Country_NonCore_Population_K,Conscription_Rate,Num_Owned_States,Num_Core_States,Num_Controlled_States,Stability,War_Support,Military_Factories,Civilian_Factories,Naval_Dockyards,Total_Factories,Total_Controlled_Factories,Total_Owned_Factories,Avg_Infra_per_State,Oil_Units,Oil_Barrels_Thousands,Aluminium_Units,Aluminium_Tons_Thousands,Rubber_Units,Rubber_Tons_Thousands,Tungsten_Units,Tungsten_Tons_Thousands,Steel_Units,Steel_Tons_Thousands,Chromium_Units,Chromium_Tons_Thousands,Coal,Coal_ShortTons_Thousands,Maximum_Potential_Exporting,Total_Country_GDP_M,Resource_Sector_GDP_USD_M,Resource_Share_Pct,Subsistence_Sector_GDP_USD_M,Subsistence_Share_Pct,Country_GDP_per_C,Global_Inflation,Global_Labor_Efficiency,Source_File
ABL,2428,0,0,0%,7,7,7,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,14,2,-2,-100,23,57,0,0,50%,285,10,3%,226,79%,117,0%,0%,generate_country_csv_report_1724-01-01-12.csv
BHK,4348,0,0,3%,14,14,14,0,0,3,6,2,11,11,11,0,2,1100,0,0,0,0,57,8,-3,-150,33,82,42,28140,50%,1286,95,7%,389,30%,295,0%,0%,generate_country_csv_report_1724-01-01-12.csv
COA,18647,0,0,2%,9,31,9,0,0,26,26,5,57,44,44,0,49,41650,199,99,0,0,0,0,306,15300,28,70,244,163480,0%,9092,1315,14%,990,10%,487,0%,0%,generate_country_csv_report_1724-01-01-12.csv
DOO,843,0,0,0%,7,7,7,0,0,0,1,0,1,1,1,0,11,6050,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,80,7,9%,68,84%,95,0%,0%,generate_country_csv_report_1724-01-01-12.csv
DTP,851,0,0,0%,2,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,98,0,0%,91,92%,115,0%,0%,generate_country_csv_report_1724-01-01-12.csv
FDN,959,0,0,0%,6,7,6,0,0,1,3,2,6,6,6,0,2,1100,0,0,0,0,0,0,-6,-300,0,0,0,0,50%,235,1,0%,80,34%,245,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HNT,2781,0,0,0%,4,7,4,0,0,0,0,0,0,0,0,0,11,6050,0,0,0,0,0,0,18,900,-2,-5,0,0,50%,301,7,2%,295,98%,108,0%,0%,generate_country_csv_report_1724-01-01-12.csv
HYP,300,0,0,0%,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,50%,30,0,1%,30,98%,102,0%,0%,generate_country_csv_report_1724-01-01-12.csv
INH,1452,0,0,0%,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,160,0,0%,160,100%,110,0%,0%,generate_country_csv_report_1724-01-01-12.csv
KST,257,0,0,0%,2,2,2,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,50%,17,0,-0%,17,97%,68,0%,0%,generate_country_csv_report_1724-01-01-12.csv
